Pets,Domesticated_animals,33662.84227792761
History,Logic,34644.903552393866
Philosophers,Ancient_history,38673.4305261391
Philosophers,Logic,40573.32043721847
Philosophers,History,47297.91763934959
Philosophers,Pets,56086.290744948674
Ancient_history,Logic,58574.551937602584
Philosophers,Mathematicians,60086.72372151959
Mathematicians,Ancient_history,63149.28977319118
History,Ancient_history,66210.94088082408
Pets,Ancient_history,69691.79094435436
History,Pets,70750.85239181278
Pets,Mathematicians,73243.31907173099
Pets,Logic,74060.89047313847
History,Mathematicians,75802.15831090395
Domesticated_animals,War,80158.88750404565
History,Domesticated_animals,82464.1615121374
Mathematicians,Logic,84243.70274484674
Philosophers,Domesticated_animals,89414.80283855753
Domesticated_animals,Logic,90045.3432804618
Ancient_history,Gods_and_goddesses,119806.88874780126
Pets,War,125254.00709089788
Ancient_history,Domesticated_animals,126409.02942956565
Mathematicians,Domesticated_animals,127245.85915585472
Ethics,War,134176.98238548785
War,Logic,135111.76188334916
Mathematicians,Gods_and_goddesses,138640.6878048875
Philosophers,War,144102.7696120622
Philosophers,Gods_and_goddesses,149552.10731916368
History,War,157205.5598686985
Pets,Gods_and_goddesses,173004.94396717352
History,Gods_and_goddesses,179658.85137907928
Ancient_history,War,188135.17841685907
Religion,Ethics,193718.75737779387
Mathematicians,War,197382.71485386667
Logic,Gods_and_goddesses,207345.6816704438
Animals,Religion,211494.52904329973
Ethics,Domesticated_animals,217534.70743644462
Religion,War,244805.96605505657
Ethics,Logic,246603.8583709279
Philosophers,Ethics,257977.0082980554
Ethics,Ancient_history,264152.93071715743
History,Ethics,278002.6686693464
Pets,Ethics,290563.15648886474
Domesticated_animals,Gods_and_goddesses,309414.4220140282
Religion,Domesticated_animals,312843.81219239073
Animals,War,335682.21008698986
Mathematicians,Ethics,337978.6963872425
Religion,Logic,344773.7887343544
Animals,Ethics,352165.5151661382
Religion,History,380488.12461671425
Philosophers,Religion,383604.5067541958
Animals,Domesticated_animals,432147.47840577486
Religion,Pets,438014.60158854665
Religion,Ancient_history,451332.42436358676
War,Gods_and_goddesses,473092.62658659735
Religion,Mathematicians,492614.43409311114
Animals,Logic,611069.3847694126
Animals,History,620164.4150797795
Animals,Pets,643764.100775835
Ethics,Gods_and_goddesses,675492.1012817256
Philosophers,Animals,704987.4297053334
Animals,Mathematicians,812254.2908629293
Animals,Ancient_history,814560.1236629502
Religion,Gods_and_goddesses,927031.5421094775
Animals,Gods_and_goddesses,1377100.4405686304
Philosophy,Theology,1517263.3306787484
Animals,Philosophy,4871050.570601959
Religion,Philosophy,6137498.137927382
Philosophy,Ethics,6885738.101074071
Philosophy,War,7218785.415292277
Philosophy,Domesticated_animals,7890275.0783326235
Animals,Theology,8513827.406126644
Philosophy,Logic,8595762.712005442
Philosophy,Pets,8708687.635842327
Philosophy,History,8712763.851560092
Philosophers,Philosophy,8899240.94351407
Philosophy,Mathematicians,9218336.432266325
Philosophy,Ancient_history,9279487.060080132
Religion,Theology,1.0045865749780875E7
Ethics,Theology,1.0936709105318537E7
Philosophy,Gods_and_goddesses,1.1106157282391064E7
War,Theology,1.1338669681384502E7
Domesticated_animals,Theology,1.2291007876137204E7
Logic,Theology,1.3075653002779033E7
Pets,Theology,1.3292645549909113E7
History,Theology,1.3319327801349185E7
Philosophers,Theology,1.342007561160961E7
Ancient_history,Theology,1.3912351759874295E7
Mathematicians,Theology,1.3933095038233412E7
Gods_and_goddesses,Theology,1.6161960756618204E7
